시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
,2024-10-06(일),광주광역시,"103,828","3,371",404,"1,509",0,"87,837",178,"10,529",,,2024-10-18(금),광주광역시,"199,838","7,499",802,"2,362",0,"161,390",369,"27,416"
,2024-10-07(월),광주광역시,"193,779","7,495",826,"2,217",0,"156,427",353,"26,461",,,2024-10-19(토),광주광역시,"147,484","5,016",597,"2,358",0,"121,279",256,"17,978"
,2024-10-08(화),광주광역시,"203,983","7,879",829,"2,344",0,"163,967",353,"28,611",,,2024-10-20(일),광주광역시,"116,469","3,856",515,"1,772",0,"95,231",219,"14,876"
,2024-10-09(수),광주광역시,"122,118","4,390",547,"2,057",0,"101,187",174,"13,763",,,2024-10-21(월),광주광역시,"192,613","7,244",763,"2,140",0,"157,059",363,"25,044"
,2024-10-10(목),광주광역시,"195,154","7,563",790,"2,182",0,"158,006",376,"26,237",,,2024-10-22(화),광주광역시,"186,401","6,903",754,"2,070",0,"151,939",356,"24,379"
,2024-10-11(금),광주광역시,"203,074","7,761",814,"2,423",0,"162,993",338,"28,745",,,2024-10-23(수),광주광역시,"199,230","7,552",785,"2,327",0,"161,736",372,"26,458"
,2024-10-12(토),광주광역시,"146,748","4,993",572,"2,289",0,"121,849",238,"16,807",,,2024-10-24(목),광주광역시,"194,223","7,262",809,"2,093",0,"159,596",347,"24,116"
,2024-10-13(일),광주광역시,"109,390","3,741",448,"1,463",0,"90,479",191,"13,068",,,2024-10-25(금),광주광역시,"204,989","7,555",803,"2,314",0,"167,125",364,"26,828"
,2024-10-14(월),광주광역시,"187,345","7,079",744,"2,023",0,"152,479",335,"24,685",,,2024-10-26(토),광주광역시,"148,489","5,139",587,"2,434",0,"122,522",245,"17,562"
30,2024-10-01(화),대전광역시,"160,020","26,980",310,"2,221",0,"117,131",757,"12,621",,,2024-10-27(일),광주광역시,"105,729","3,467",457,"1,349",0,"87,685",168,"12,603"
,2024-10-02(수),대전광역시,"259,817","39,771",494,"2,324",0,"188,885","1,185","27,158",,,2024-10-28(월),광주광역시,"198,283","7,465",795,"2,088",0,"162,297",375,"25,263"
,2024-10-03(목),대전광역시,"153,321","26,045",343,"2,229",0,"110,746",659,"13,299",,,2024-10-29(화),광주광역시,"194,377","7,279",764,"2,119",0,"159,171",344,"24,700"
,2024-10-04(금),대전광역시,"254,222","41,018",544,"2,589",0,"186,529","1,238","22,304",,,2024-10-30(수),광주광역시,"197,180","7,478",737,"2,220",0,"159,517",357,"26,871"
,2024-10-05(토),대전광역시,"190,199","31,696",381,"2,689",0,"139,514",831,"15,088",,,2024-10-31(목),광주광역시,"196,516","7,316",799,"2,098",0,"161,035",324,"24,944"
,2024-10-06(일),대전광역시,"145,251","23,011",300,"1,795",0,"106,876",669,"12,600",,30,2024-10-17(목),대전광역시,"246,754","40,009",512,"1,951",0,"179,777","1,206","23,299"
,2024-10-07(월),대전광역시,"241,576","39,840",499,"1,975",0,"175,146","1,220","22,896",,,2024-10-18(금),대전광역시,"251,839","37,815",466,"1,899",0,"185,065","1,191","25,403"
